coc_number,population
WA-501,2209995
WA-502,485859
WA-503,827075
WA-504,758649
WA-507,247681
WA-508,458516
WI-500,4087801
WI-501,955306
WI-502,194873
WI-503,516818
WV-500,145047
WV-501,137860
WV-503,279057
WV-508,1284128
WY-500,583029
