model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Model 1: PSH only,0.23209402153812883,0.23002419410292174,16.816445772339122,112.13206356736454,4.518566212941772e-23,1,-1581.0006636295552,3168.0013272591104,3179.766062518042,104916.14676160229,371,373
Model 2: PSH + RRH,0.2416621265479711,0.23756300290768984,16.73391862547259,58.95458340734286,5.951248419084833e-23,2,-1578.6622758816454,3165.324551763291,3181.010865441866,103608.89204865725,370,373
Model 3: Full,0.5756445823535078,0.5721945383076014,12.534841132690037,166.85137195176497,2.4177481133376448e-68,3,-1470.3882692320876,2950.7765384641752,2970.3844305623943,57978.1073798361,369,373
