var,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
homeless_rate,1,0.4817613740620237,0.43571672927112387,0.7388595556508087
psh_beds_pc,0.4817613740620237,0.9999999999999998,0.776480726588032,0.5249894229125022
rrh_beds_pc,0.43571672927112387,0.776480726588032,1,0.3752520591531388
es_beds_pc,0.7388595556508087,0.5249894229125022,0.3752520591531388,1
