var,n,mean,sd,min,p25,median,p75,max
es_beds_pc,373,9.915694612334075,11.26898799369651,0,4.332097563669753,6.750951270406285,12.595178172624802,116.53669874231598
homeless_rate,373,19.857492730945662,19.164419626324978,1.835539362634322,7.864283395021268,13.05011136449413,23.35208935300181,122.50151647408678
psh_beds_pc,373,12.1367546427786,16.212686982712416,0,4.162213451004046,7.882968240733722,15.39356945718387,232.91032444169957
rrh_beds_pc,373,5.043746673107804,8.85030588660896,0,1.6014321682118897,3.3859408212787567,6.046159020655708,139.69460204640603
