model,term,estimate,std.error,statistic,p.value
Model 1: PSH only,(Intercept),12.945946411081877,1.0881951075882292,11.8967144042524,7.22836309291914e-28
Model 1: PSH only,psh_beds_pc,0.569472360881594,0.05377838343996684,10.589242823137289,4.518566212941772e-23
Model 2: PSH + RRH,(Intercept),12.979786622484015,1.0829680221305964,11.985383092797147,3.4295150459993633e-28
Model 2: PSH + RRH,psh_beds_pc,0.4269947637836401,0.08492458755606964,5.027928613744823,7.741907263629284e-7
Model 2: PSH + RRH,rrh_beds_pc,0.33613413530615627,0.1555715443989089,2.1606402160812754,0.03136446392742552
Model 3: Full,(Intercept),6.644275306750579,0.8923471716942032,7.445841167553444,6.867652636821218e-13
Model 3: Full,psh_beds_pc,-0.046083873917771245,0.06940754795211557,-0.6639605529583702,0.5071301973853775
Model 3: Full,rrh_beds_pc,0.45629733283063545,0.11674677856040348,3.908436176631223,1.1051852157515844e-4
Model 3: Full,es_beds_pc,1.1568607534809032,0.06788455156129078,17.041590860866346,1.888815951398795e-48
