coc_number,coc_name,coc_category,total_homeless,es_beds,rrh_beds,psh_beds,population,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
CA-525,El Dorado County CoC,Largely Suburban CoC,491,12,70,39,183000,26.830601092896174,2.1311475409836067,3.8251366120218577,0.6557377049180328
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,731,268,141,96,153259,47.69703573688984,6.263906198004684,9.200112228319382,17.48673813609641
CA-527,Tehama County CoC,Largely Rural CoC,304,24,185,0,63015,48.242481948742366,0,29.358089343807027,3.8086169959533445
CA-529,Lake County CoC,Largely Rural CoC,460,128,107,12,64076,71.7897496722642,1.8727760784068916,16.69892003246145,19.97627816967351
CA-530,"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,88,0,0,0,33561,26.22091117666339,0,0,0
CA-600,Los Angeles City & County CoC,Major City CoC,71320,20512,8450,24172,9246562,77.13137055697025,26.14160809174264,9.138531705081304,22.183380157944107
CA-601,San Diego City and County CoC,Major City CoC,10264,4386,2814,6865,3253356,31.548960519537363,21.101287409063136,8.649529900816265,13.481463448820232
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,6050,2814,1304,2917,3132211,19.315429260672413,9.312910273286187,4.163193348085426,8.984069080914407
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,1887,729,285,782,439395,42.94541358003619,17.797198420555535,6.486191240228041,16.590994435530675
CA-604,Bakersfield/Kern County CoC,Major City CoC,1948,889,521,3100,871337,22.35644762015156,35.57750904644242,5.979316842966614,10.202711465253971
CA-606,Long Beach CoC,Major City CoC,3447,692,292,1820,475317,72.52002347906766,38.29023577949032,6.143268597588557,14.558705032641374
CA-607,Pasadena CoC,Other Largely Urban CoC,556,145,101,447,137381,40.47138978461359,32.537250420363804,7.351817209075491,10.55458906253412
CA-608,Riverside City & County CoC,Largely Suburban CoC,3725,1197,710,1719,2323892,16.029144211521018,7.397073530095202,3.055219433605348,5.150841777500848
CA-609,San Bernardino City & County CoC,Largely Suburban CoC,4195,797,2136,1590,2106754,19.91214921153585,7.547155481845531,10.138820194479278,3.78307101825842
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Largely Urban CoC,2441,786,547,734,843110,28.952331249777608,8.705862817425958,6.487884143231607,9.32262694073134
